booking_id,date,distance_km,price,month,weekday,price_per_km
BKN00001582317,2025-10-27,37.7,9.3,2025-10,Monday,0.246684350132626
BKN00001529867,2025-10-07,37.7,13.98,2025-10,Tuesday,0.37082228116710875
BKN00001542229,2025-10-11,6.4,3.22,2025-10,Saturday,0.503125
BKN00001521917,2025-10-03,94.2,33.27,2025-10,Friday,0.3531847133757962
BKN00001543488,2025-10-13,39.2,9.86,2025-10,Monday,0.2515306122448979
BKN00001516943,2025-10-01,6.1,3.44,2025-10,Wednesday,0.5639344262295082
BKN00001551148,2025-10-14,12.7,10.78,2025-10,Tuesday,0.8488188976377953
BKN00001536355,2025-10-09,54.7,13.78,2025-10,Thursday,0.2519195612431444
BKN00001575975,2025-10-24,104.8,36.57,2025-10,Friday,0.3489503816793893
BKN00001591277,2025-10-30,105.3,42.41,2025-10,Thursday,0.40275403608736937
BKN00001571534,2025-10-22,6.7,2.34,2025-10,Wednesday,0.3492537313432835
BKN00001583838,2025-10-28,39.2,10.55,2025-10,Tuesday,0.26913265306122447
BKN00001565976,2025-10-21,21.6,8.5,2025-10,Tuesday,0.3935185185185185
BKN00001526415,2025-10-06,39.5,11.02,2025-10,Monday,0.2789873417721519
BKN00001543486,2025-10-13,37.5,9.08,2025-10,Monday,0.24213333333333334
BKN00001594023,2025-10-31,37.4,9.14,2025-10,Friday,0.24438502673796794
BKN00001554801,2025-10-16,47.1,11.73,2025-10,Thursday,0.24904458598726115
BKN00001523930,2025-10-04,5.4,4.66,2025-10,Saturday,0.8629629629629629
BKN00001537858,2025-10-09,37.6,10.59,2025-10,Thursday,0.28164893617021275
BKN00001539071,2025-10-10,37.5,9.3,2025-10,Friday,0.24800000000000003
BKN00001548632,2025-10-14,39.3,10.19,2025-10,Tuesday,0.2592875318066158
BKN00001580024,2025-10-27,37.6,9.18,2025-10,Monday,0.24414893617021274
BKN00001543487,2025-10-13,8.1,3.6,2025-10,Monday,0.4444444444444445
BKN00001575251,2025-10-24,8.1,5.83,2025-10,Friday,0.7197530864197531
BKN00001526406,2025-10-06,42.8,10.98,2025-10,Monday,0.2565420560747664
BKN00001587314,2025-10-29,149.4,47.46,2025-10,Wednesday,0.3176706827309237
BKN00001521443,2025-10-03,39.3,10.94,2025-10,Friday,0.2783715012722646
BKN00001557243,2025-10-17,37.3,8.98,2025-10,Friday,0.24075067024128688
BKN00001519855,2025-10-02,38.8,14.18,2025-10,Thursday,0.36546391752577323
BKN00001630629,2025-11-11,37.8,9.12,2025-11,Tuesday,0.24126984126984127
BKN00001647219,2025-11-17,37.5,9.16,2025-11,Monday,0.24426666666666666
BKN00001616828,2025-11-06,37.5,9.89,2025-11,Thursday,0.2637333333333334
BKN00001637920,2025-11-13,37.8,9.22,2025-11,Thursday,0.24391534391534395
BKN00001687235,2025-11-30,11.6,4.37,2025-11,Sunday,0.3767241379310345
BKN00001640677,2025-11-14,7.3,2.37,2025-11,Friday,0.32465753424657534
BKN00001639618,2025-11-13,37.5,9.23,2025-11,Thursday,0.24613333333333334
BKN00001642293,2025-11-14,18.7,6.24,2025-11,Friday,0.33368983957219256
BKN00001603648,2025-11-03,127.0,42.85,2025-11,Monday,0.33740157480314964
BKN00001671518,2025-11-25,38.5,24.42,2025-11,Tuesday,0.6342857142857143
BKN00001689121,2025-12-01,37.6,9.32,2025-12,Monday,0.2478723404255319
BKN00001615582,2025-11-06,39.4,10.82,2025-11,Thursday,0.27461928934010155
BKN00001671484,2025-11-26,137.9,49.15,2025-11,Wednesday,0.35641769398114576
BKN00001680166,2025-11-27,42.8,14.0,2025-11,Thursday,0.3271028037383178
BKN00001658456,2025-11-20,38.2,13.29,2025-11,Thursday,0.3479057591623036
BKN00001626873,2025-11-10,37.2,9.24,2025-11,Monday,0.24838709677419354
BKN00001679339,2025-11-27,37.6,9.42,2025-11,Thursday,0.25053191489361704
BKN00001667519,2025-11-24,37.5,17.76,2025-11,Monday,0.4736
BKN00001607374,2025-11-04,39.2,13.17,2025-11,Tuesday,0.335969387755102
BKN00001662502,2025-11-21,15.8,8.85,2025-11,Friday,0.560126582278481
BKN00001652502,2025-11-18,8.3,5.33,2025-11,Tuesday,0.6421686746987951
BKN00001640763,2025-11-14,37.7,20.15,2025-11,Friday,0.5344827586206896
BKN00001663918,2025-11-28,552.7,136.71,2025-11,Friday,0.24734937579156865
BKN00001628444,2025-11-10,38.9,10.44,2025-11,Monday,0.2683804627249357
BKN00001618312,2025-11-07,37.6,9.21,2025-11,Friday,0.2449468085106383
BKN00001686030,2025-11-29,6.7,1.5,2025-11,Saturday,0.22388059701492538
BKN00001252107,2025-05-12,49.0,12.64,2025-05,Monday,0.25795918367346937
BKN00001258610,2025-05-15,42.9,11.82,2025-05,Thursday,0.27552447552447557
BKN00001278213,2025-05-27,37.5,19.52,2025-05,Tuesday,0.5205333333333333
BKN00001243199,2025-05-06,9.5,4.95,2025-05,Tuesday,0.5210526315789474
BKN00001270210,2025-05-22,44.8,12.9,2025-05,Thursday,0.2879464285714286
